2022-04-13 20:27:34,879 {'vecid': 242606374551181, 'locationx': 31.34779530196276, 'locationy': 30.061598182351954, 'velocityx': -2.0130850520520803e-08, 'velocityy': 1.0065425260260401e-08, 'acceleration': 2.250697510438577e-08, 'stop': 0, 'angle': 360.0}
2022-04-13 20:27:39,880 {'vecid': 242606374551181, 'locationx': 31.347798566534948, 'locationy': 30.06160598393412, 'velocityx': 5.326808451787125e-07, 'velocityy': 1.3410240565245304e-06, 'acceleration': 7.599587609996966e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:27:44,905 {'vecid': 242606374551181, 'locationx': 31.34780020059697, 'locationy': 30.061612793037515, 'velocityx': 9.745165843624329e-07, 'velocityy': 3.3003886549567656e-06, 'acceleration': 1.0056798931759694e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:27:49,909 {'vecid': 242606374551181, 'locationx': 31.347801363651868, 'locationy': 30.061614869754724, 'velocityx': 1.1404369449148882e-06, 'velocityy': 3.2135060906962696e-06, 'acceleration': 5.555424601784474e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:27:54,917 {'vecid': 242606374551181, 'locationx': 31.347802840434017, 'locationy': 30.061607661267427, 'velocityx': 1.3233456609636774e-06, 'velocityy': -2.342088936254955e-07, 'acceleration': 2.2801604695534427e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:27:59,891 {'vecid': 242606374551181, 'locationx': 31.34779751196995, 'locationy': 30.06159173039069, 'velocityx': -9.311482495239251e-07, 'velocityy': -5.725103623250135e-06, 'acceleration': 8.434194387651522e-07, 'stop': 0, 'angle': 180.0}
2022-04-13 20:28:04,881 {'vecid': 242606374551181, 'locationx': 31.347795930417284, 'locationy': 30.06157164597392, 'velocityx': -1.229916636108996e-06, 'velocityy': -1.09613248213039e-05, 'acceleration': 1.142571216596373e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:28:09,916 {'vecid': 242606374551181, 'locationx': 31.347790640436802, 'locationy': 30.06152899998625, 'velocityx': -2.68640318162269e-06, 'velocityy': -2.2284351208276368e-05, 'acceleration': 2.1005446454322232e-06, 'stop': 0, 'angle': 90.00279799132335}
2022-04-13 20:28:14,892 {'vecid': 242606374551181, 'locationx': 31.347795820452138, 'locationy': 30.061476054505412, 'velocityx': -6.658758723496471e-08, 'velocityy': -3.357835176637506e-05, 'acceleration': 2.622172683417727e-06, 'stop': 0, 'angle': 192.111181887317}
2022-04-13 20:28:19,867 {'vecid': 242606374551181, 'locationx': 31.347821296013322, 'locationy': 30.061426210636682, 'velocityx': 8.807284901024358e-06, 'velocityy': -4.008715744626792e-05, 'acceleration': 2.6167668735819736e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:28:24,890 {'vecid': 242606374551181, 'locationx': 31.34785795333061, 'locationy': 30.0613850896908, 'velocityx': 1.8837260830757406e-05, 'velocityy': -4.123572421234312e-05, 'acceleration': 2.4505422321028594e-06, 'stop': 0, 'angle': 180.0}
2022-04-13 20:28:29,886 {'vecid': 242606374551181, 'locationx': 31.34789619820238, 'locationy': 30.06134791665706, 'velocityx': 2.620861470182031e-05, 'velocityy': -4.033353562295413e-05, 'acceleration': 2.174435580193856e-06, 'stop': 0, 'angle': 269.9972018856755}
2022-04-13 20:28:34,903 {'vecid': 242606374551181, 'locationx': 31.347938055185676, 'locationy': 30.06131143575694, 'velocityx': 3.231186612985251e-05, 'velocityy': -3.924879515190503e-05, 'acceleration': 1.9595172916647423e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:28:39,885 {'vecid': 242606374551181, 'locationx': 31.347985479443597, 'locationy': 30.06127967510721, 'velocityx': 3.8191599458116176e-05, 'velocityy': -3.67566900312621e-05, 'acceleration': 1.8559477284092035e-06, 'stop': 0, 'angle': 180.0}
2022-04-13 20:28:44,886 {'vecid': 242606374551181, 'locationx': 31.348040199481222, 'locationy': 30.061253569893868, 'velocityx': 4.452835757242965e-05, 'velocityy': -3.30250140059184e-05, 'acceleration': 1.9388207447257288e-06, 'stop': 0, 'angle': 269.99720182427143}
2022-04-13 20:28:49,895 {'vecid': 242606374551181, 'locationx': 31.348097316941626, 'locationy': 30.061232168216165, 'velocityx': 4.9507618691652616e-05, 'velocityy': -2.8820047542200677e-05, 'acceleration': 1.8897672541512414e-06, 'stop': 0, 'angle': 269.99720182427143}
2022-04-13 20:28:54,899 {'vecid': 242606374551181, 'locationx': 31.348143163033882, 'locationy': 30.06121098193896, 'velocityx': 4.882120314250398e-05, 'velocityy': -2.589288114014797e-05, 'acceleration': 1.2216061989372016e-06, 'stop': 0, 'angle': 360.0}
