2022-04-13 20:57:41,739 {'vecid': 242606374551181, 'locationx': 31.347828333333332, 'locationy': 30.06152, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 360.0}
2022-04-13 20:57:44,727 {'vecid': 242606374551181, 'locationx': 31.347828333333332, 'locationy': 30.061518284751227, 'velocityx': 0.0, 'velocityy': -2.9224808730983166e-07, 'acceleration': 1.539662498382668e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:57:47,747 {'vecid': 242606374551181, 'locationx': 31.347831225842096, 'locationy': 30.061514531583253, 'velocityx': 9.117191906803167e-07, 'velocityy': -1.4346151466828753e-06, 'acceleration': 5.097017794827385e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:57:50,768 {'vecid': 242606374551181, 'locationx': 31.34783472644941, 'locationy': 30.061505510541497, 'velocityx': 1.9154372877391444e-06, 'velocityy': -4.240130063204751e-06, 'acceleration': 8.312478427778101e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:57:53,790 {'vecid': 242606374551181, 'locationx': 31.34783942956786, 'locationy': 30.061491689255917, 'velocityx': 3.0051657153828317e-06, 'velocityy': -7.841791905669125e-06, 'acceleration': 9.91752244967631e-07, 'stop': 0, 'angle': 180.0}
2022-04-13 20:57:56,824 {'vecid': 242606374551181, 'locationx': 31.347845589184086, 'locationy': 30.06147529361965, 'velocityx': 4.214013279082447e-06, 'velocityy': -1.1118801016216387e-05, 'acceleration': 1.012909206051165e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:57:59,847 {'vecid': 242606374551181, 'locationx': 31.347854759997578, 'locationy': 30.061464577466502, 'velocityx': 6.0454033505371055e-06, 'velocityy': -1.1305171417571275e-05, 'acceleration': 7.102711440501773e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:02,845 {'vecid': 242606374551181, 'locationx': 31.34786813316971, 'locationy': 30.0614582257184, 'velocityx': 8.722822955395577e-06, 'velocityy': -9.78837822817897e-06, 'acceleration': 6.00008949084234e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:05,837 {'vecid': 242606374551181, 'locationx': 31.347871148481318, 'locationy': 30.061460986380855, 'velocityx': 6.954094142958807e-06, 'velocityy': -5.501341796247661e-06, 'acceleration': 4.842848008471708e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:08,852 {'vecid': 242606374551181, 'locationx': 31.347869103932435, 'locationy': 30.061465041851203, 'velocityx': 3.886155915074801e-06, 'velocityy': -2.0419358286571424e-06, 'acceleration': 7.791401378992299e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:11,853 {'vecid': 242606374551181, 'locationx': 31.34786825941507, 'locationy': 30.061472186876756, 'velocityx': 2.141580399953678e-06, 'velocityy': 1.3703718411392034e-06, 'acceleration': 9.286927142076543e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:14,862 {'vecid': 242606374551181, 'locationx': 31.347862566310887, 'locationy': 30.061483901107962, 'velocityx': -7.015138990525843e-07, 'velocityy': 5.22563513466667e-06, 'acceleration': 1.1307175873189413e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:17,880 {'vecid': 242606374551181, 'locationx': 31.347856922699858, 'locationy': 30.061497126671675, 'velocityx': -2.6097232923963644e-06, 'velocityy': 8.316139969951941e-06, 'acceleration': 1.1031983618716513e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:20,886 {'vecid': 242606374551181, 'locationx': 31.34785323708165, 'locationy': 30.061506599823574, 'velocityx': -3.179111931741756e-06, 'velocityy': 9.037097116710663e-06, 'acceleration': 7.426424229659628e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:23,902 {'vecid': 242606374551181, 'locationx': 31.347852853905906, 'locationy': 30.06151323537685, 'velocityx': -2.351584825445997e-06, 'velocityy': 8.422459540333988e-06, 'acceleration': 3.0315441561613165e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:26,911 {'vecid': 242606374551181, 'locationx': 31.347853095421748, 'locationy': 30.061516751178864, 'velocityx': -1.4988040559472009e-06, 'velocityy': 6.824193611643472e-06, 'acceleration': 5.9405670640844094e-08, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:29,896 {'vecid': 242606374551181, 'locationx': 31.347853721150628, 'locationy': 30.061517883397446, 'velocityx': -7.525064228027942e-07, 'velocityy': 4.844493877394945e-06, 'acceleration': 3.004097297611855e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:32,914 {'vecid': 242606374551181, 'locationx': 31.34785730957954, 'locationy': 30.06152299822896, 'velocityx': 7.853677922831092e-07, 'velocityy': 4.8429558330166495e-06, 'acceleration': 3.051021719973598e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:35,916 {'vecid': 242606374551181, 'locationx': 31.347860976063604, 'locationy': 30.061530154361975, 'velocityx': 1.8690713092297325e-06, 'velocityy': 5.587247278857434e-06, 'acceleration': 2.859829036384898e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:38,925 {'vecid': 242606374551181, 'locationx': 31.347858139046917, 'locationy': 30.061541722484314, 'velocityx': 3.4301824931829503e-07, 'velocityy': 7.652821664295824e-06, 'acceleration': 2.6668869578558065e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:41,919 {'vecid': 242606374551181, 'locationx': 31.347845836994978, 'locationy': 30.06155521482214, 'velocityx': -4.031214825865169e-06, 'velocityy': 9.758629300683013e-06, 'acceleration': 7.087625260511485e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:44,928 {'vecid': 242606374551181, 'locationx': 31.347829895887003, 'locationy': 30.06156845560617, 'velocityx': -8.337195348036677e-06, 'velocityy': 1.1103277194719886e-05, 'acceleration': 9.62331763430068e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:47,920 {'vecid': 242606374551181, 'locationx': 31.34781746065832, 'locationy': 30.061577622399962, 'velocityx': -1.0049847312961527e-05, 'velocityy': 1.057471359316136e-05, 'acceleration': 7.312538196105618e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:50,922 {'vecid': 242606374551181, 'locationx': 31.347804344201432, 'locationy': 30.061584049683887, 'velocityx': -1.1352071388694285e-05, 'velocityy': 9.199908023317885e-06, 'acceleration': 5.756941944598096e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:53,916 {'vecid': 242606374551181, 'locationx': 31.34778687668514, 'locationy': 30.061590492939356, 'velocityx': -1.3657590773916493e-05, 'velocityy': 8.220946487346688e-06, 'acceleration': 6.393736850303713e-07, 'stop': 0, 'angle': 90.00279799132335}
2022-04-13 20:58:56,915 {'vecid': 242606374551181, 'locationx': 31.34776910860005, 'locationy': 30.061595068605367, 'velocityx': -1.5287109234831376e-05, 'velocityy': 6.904764272718277e-06, 'acceleration': 6.161365293094664e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:58:59,903 {'vecid': 242606374551181, 'locationx': 31.347755047908358, 'locationy': 30.061597665453704, 'velocityx': -1.5054609368686084e-05, 'velocityy': 5.3278989822788985e-06, 'acceleration': 4.524232094533949e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:02,900 {'vecid': 242606374551181, 'locationx': 31.34774770360528, 'locationy': 30.061601059224326, 'velocityx': -1.249218280757538e-05, 'velocityy': 4.540662832133115e-06, 'acceleration': 3.3978634239787707e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:05,904 {'vecid': 242606374551181, 'locationx': 31.34775329079511, 'locationy': 30.06159487879216, 'velocityx': -6.197834883964593e-06, 'velocityy': 7.387562404361967e-07, 'acceleration': 1.1037857285568403e-06, 'stop': 0, 'angle': 180.0}
2022-04-13 20:59:08,901 {'vecid': 242606374551181, 'locationx': 31.34776014516075, 'locationy': 30.061589104769272, 'velocityx': -1.3887645696681674e-06, 'velocityy': -1.7319608903488343e-06, 'acceleration': 1.3089637467348475e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:11,866 {'vecid': 242606374551181, 'locationx': 31.347766203506243, 'locationy': 30.061585019589845, 'velocityx': 1.5633158063442658e-06, 'velocityy': -2.7782119403684424e-06, 'acceleration': 1.135350392395911e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:14,873 {'vecid': 242606374551181, 'locationx': 31.347772139695426, 'locationy': 30.061582031102255, 'velocityx': 3.417724365942986e-06, 'velocityy': -3.0292876387114257e-06, 'acceleration': 8.723007550499433e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:17,863 {'vecid': 242606374551181, 'locationx': 31.347775974961316, 'locationy': 30.061580838202108, 'velocityx': 3.838620083711172e-06, 'velocityy': -2.507913877479029e-06, 'acceleration': 5.265113031157855e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:20,873 {'vecid': 242606374551181, 'locationx': 31.34777566664557, 'locationy': 30.06158183436955, 'velocityx': 2.583145176010668e-06, 'velocityy': -1.3398884556770534e-06, 'acceleration': 1.5425182950971045e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:23,852 {'vecid': 242606374551181, 'locationx': 31.347771984776976, 'locationy': 30.061584477172563, 'velocityx': 4.6640051718975567e-07, 'velocityy': 6.182134850270275e-08, 'acceleration': 2.954705122508364e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:26,856 {'vecid': 242606374551181, 'locationx': 31.347764442987966, 'locationy': 30.061590312306503, 'velocityx': -2.3633625550714365e-06, 'velocityy': 2.1305232868904944e-06, 'acceleration': 6.094896048789511e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:29,854 {'vecid': 242606374551181, 'locationx': 31.347752845292206, 'locationy': 30.06159768735626, 'velocityx': -5.710559072568515e-06, 'velocityy': 4.073617009207156e-06, 'acceleration': 8.344609635872998e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:32,883 {'vecid': 242606374551181, 'locationx': 31.347745580950296, 'locationy': 30.06160029549371, 'velocityx': -6.4834143655333885e-06, 'velocityy': 3.7280699740686783e-06, 'acceleration': 5.385040458748319e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:35,847 {'vecid': 242606374551181, 'locationx': 31.347739505104368, 'locationy': 30.06160232263118, 'velocityx': -6.510811239716016e-06, 'velocityy': 3.217090410969633e-06, 'acceleration': 2.8880627735694466e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:38,846 {'vecid': 242606374551181, 'locationx': 31.347734551475813, 'locationy': 30.061603911419, 'velocityx': -6.070117152069208e-06, 'velocityy': 2.676160021893159e-06, 'acceleration': 1.0978852061901025e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:41,834 {'vecid': 242606374551181, 'locationx': 31.347734717697296, 'locationy': 30.061603826195228, 'velocityx': -3.953847581945334e-06, 'velocityy': 1.7116695298471604e-06, 'acceleration': 2.5257102002838327e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:44,865 {'vecid': 242606374551181, 'locationx': 31.347737422466658, 'locationy': 30.061601824906948, 'velocityx': -1.5844640796537443e-06, 'velocityy': 3.8191089260680447e-07, 'acceleration': 4.878399744889515e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:47,840 {'vecid': 242606374551181, 'locationx': 31.347740355666375, 'locationy': 30.061600596677472, 'velocityx': 1.1812961792726555e-07, 'velocityy': -2.590403943052505e-07, 'acceleration': 5.060094341129112e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:50,847 {'vecid': 242606374551181, 'locationx': 31.347742345617796, 'locationy': 30.06159112035425, 'velocityx': 9.196364018693663e-07, 'velocityy': -3.516064707406564e-06, 'acceleration': 6.487303918062403e-07, 'stop': 0, 'angle': 180.0}
2022-04-13 20:59:53,835 {'vecid': 242606374551181, 'locationx': 31.34773628114886, 'locationy': 30.061571861794313, 'velocityx': -1.3672281439712481e-06, 'velocityy': -9.133359201288628e-06, 'acceleration': 1.0229393110602484e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:56,855 {'vecid': 242606374551181, 'locationx': 31.34773145939592, 'locationy': 30.061557449302992, 'velocityx': -2.5886752901421307e-06, 'velocityy': -1.1304172213921904e-05, 'acceleration': 8.784564059318729e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 20:59:59,856 {'vecid': 242606374551181, 'locationx': 31.347708382270532, 'locationy': 30.061542219568707, 'velocityx': -9.728582306804815e-06, 'velocityy': -1.2951449832038785e-05, 'acceleration': 1.2352335801288823e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:00:02,874 {'vecid': 242606374551181, 'locationx': 31.34767970289567, 'locationy': 30.06154010327484, 'velocityx': -1.6617964325555613e-05, 'velocityy': -9.450281620565712e-06, 'acceleration': 1.4552443156298922e-06, 'stop': 0, 'angle': 90.00279799132335}
2022-04-13 21:00:05,859 {'vecid': 242606374551181, 'locationx': 31.34764369916566, 'locationy': 30.061548553780465, 'velocityx': -2.3805689050176393e-05, 'velocityy': -3.256074152279411e-06, 'acceleration': 1.919351156412927e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:00:08,879 {'vecid': 242606374551181, 'locationx': 31.347604659806453, 'locationy': 30.06156609891456, 'velocityx': -2.9657790547931758e-05, 'velocityy': 4.2007933809210405e-06, 'acceleration': 2.230833750578434e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:00:11,854 {'vecid': 242606374551181, 'locationx': 31.34756531544939, 'locationy': 30.06159036580329, 'velocityx': -3.359287880337861e-05, 'velocityy': 1.1607573343967354e-05, 'acceleration': 2.2855511153192022e-06, 'stop': 0, 'angle': 90.00279799132335}
2022-04-13 21:00:14,847 {'vecid': 242606374551181, 'locationx': 31.347534583270008, 'locationy': 30.061615724689727, 'velocityx': -3.311326349216977e-05, 'velocityy': 1.6948733229804022e-05, 'acceleration': 1.8401335960102208e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:00:17,823 {'vecid': 242606374551181, 'locationx': 31.347522572869963, 'locationy': 30.061641241458688, 'velocityx': -2.609860122653431e-05, 'velocityy': 2.047597486419544e-05, 'acceleration': 1.4636984514568727e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:00:20,800 {'vecid': 242606374551181, 'locationx': 31.347527989911992, 'locationy': 30.061661613749205, 'velocityx': -1.5070390109356053e-05, 'velocityy': 2.091760939969239e-05, 'acceleration': 1.8574669342606199e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:00:23,846 {'vecid': 242606374551181, 'locationx': 31.3475500498639, 'locationy': 30.061673728835117, 'velocityx': -1.6914914793326865e-06, 'velocityy': 1.8170452809441334e-05, 'acceleration': 2.6395907395487627e-06, 'stop': 0, 'angle': 360.0}
