2022-04-13 21:06:23,880 {'vecid': 242606374551181, 'locationx': 31.347881201979533, 'locationy': 30.061502886260694, 'velocityx': -1.9124308000931486e-07, 'velocityy': 1.4091595370801285e-07, 'acceleration': 2.3755256610040654e-07, 'stop': 0, 'angle': 12.116777931556612}
2022-04-13 21:06:26,889 {'vecid': 242606374551181, 'locationx': 31.347866761322827, 'locationy': 30.061510908733297, 'velocityx': -2.6841062779053953e-06, 'velocityy': 1.5316996507432416e-06, 'acceleration': 1.5987136533925745e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:29,892 {'vecid': 242606374551181, 'locationx': 31.347851523043936, 'locationy': 30.061522193436787, 'velocityx': -7.106063049396162e-06, 'velocityy': 4.869809088442403e-06, 'acceleration': 2.516973975728589e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:32,879 {'vecid': 242606374551181, 'locationx': 31.347830070430216, 'locationy': 30.061537322514287, 'velocityx': -1.2858243347397952e-05, 'velocityy': 8.964155535061858e-06, 'acceleration': 2.7121902944979556e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:35,884 {'vecid': 242606374551181, 'locationx': 31.347808026561783, 'locationy': 30.061551946238197, 'velocityx': -1.6832695005244708e-05, 'velocityy': 1.1477931399913305e-05, 'acceleration': 2.1855575396791787e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:38,902 {'vecid': 242606374551181, 'locationx': 31.347790801194698, 'locationy': 30.061566809852714, 'velocityx': -1.7589643203485282e-05, 'velocityy': 1.3070460724158321e-05, 'acceleration': 1.4384213268510548e-06, 'stop': 0, 'angle': 90.00279799132335}
2022-04-13 21:06:41,878 {'vecid': 242606374551181, 'locationx': 31.347778923596636, 'locationy': 30.061578478434765, 'velocityx': -1.6001708609197183e-05, 'velocityy': 1.2895064107587622e-05, 'acceleration': 6.53448553305174e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:44,918 {'vecid': 242606374551181, 'locationx': 31.347771510696585, 'locationy': 30.061584475431673, 'velocityx': -1.318586429587724e-05, 'velocityy': 1.068173428090762e-05, 'acceleration': 1.1181116049519549e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:47,900 {'vecid': 242606374551181, 'locationx': 31.347770207777387, 'locationy': 30.061590197220923, 'velocityx': -9.04692639969544e-06, 'velocityy': 8.968858851594669e-06, 'acceleration': 6.283255794051902e-07, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:50,907 {'vecid': 242606374551181, 'locationx': 31.34777671965785, 'locationy': 30.061589740699844, 'velocityx': -3.4763948409980075e-06, 'velocityy': 5.641270782290976e-06, 'acceleration': 1.1760561350061872e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 21:06:53,880 {'vecid': 242606374551181, 'locationx': 31.3477865032599, 'locationy': 30.061586864321868, 'velocityx': 1.4558660313806033e-06, 'velocityy': 2.5147734903774635e-06, 'acceleration': 1.4078688832269023e-06, 'stop': 0, 'angle': 360.0}
