2022-03-16 13:01:21,101 {'vecid': 242606374551181, 'locationx': 0, 'locationy': 0, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 0}
2022-03-16 13:01:21,102 {'vecid': 242606374551181, 'locationx': 0, 'locationy': 0, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 0}
2022-03-16 13:01:24,016 {'vecid': 242606374551181, 'locationx': 0, 'locationy': 0, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 0}
2022-03-16 13:01:24,016 {'vecid': 242606374551181, 'locationx': 0, 'locationy': 0, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 0}
2022-03-16 13:01:27,033 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:27,034 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:30,031 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:30,032 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:33,032 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:33,032 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:35,487 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:35,487 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:38,490 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
2022-03-16 13:01:38,491 {'vecid': 242606374551181, 'locationx': 31.276068333333335, 'locationy': 30.066021666666668, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 46.13008174978444}
