2022-04-10 11:21:44,361 {'vecid': 251096697943453, 'locationx': 31.27797166660349, 'locationy': 30.065324999944057, 'velocityx': 2.0093120122808672e-11, 'velocityy': -1.6086334014442081e-10, 'acceleration': 2.0746418908262098e-10, 'stop': 0, 'angle': 160.0168934852319}
2022-04-10 11:21:47,432 {'vecid': 251096697943453, 'locationx': 31.27797166662716, 'locationy': 30.06532499992062, 'velocityx': 5.4903951214218594e-11, 'velocityy': 2.0891995922317944e-11, 'acceleration': 1.7979573328266545e-10, 'stop': 0, 'angle': 160.0168934852319}
2022-04-10 11:21:47,815 {'vecid': 242606374551181, 'locationx': 31.278536666666668, 'locationy': 30.064033333333334, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 360.0}
2022-04-10 11:21:50,830 {'vecid': 242606374551181, 'locationx': 31.278536666666668, 'locationy': 30.064033333333334, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 360.0}
2022-04-10 11:21:53,370 {'vecid': 251096697943453, 'locationx': 31.277971666666758, 'locationy': 30.065324999981012, 'velocityx': 1.9492915204949065e-11, 'velocityy': 5.511809674103783e-11, 'acceleration': 3.0304203612317066e-11, 'stop': 0, 'angle': 160.0168934852319}
2022-04-10 11:21:53,822 {'vecid': 242606374551181, 'locationx': 31.278536666666668, 'locationy': 30.064033333333334, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 360.0}
2022-04-10 11:21:56,058 {'vecid': 242606374551181, 'locationx': 31.278536666666668, 'locationy': 30.064033333333334, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 360.0}
2022-04-10 11:21:56,450 {'vecid': 251096697943453, 'locationx': 31.27797166667143, 'locationy': 30.06532499999994, 'velocityx': 3.735042913761984e-12, 'velocityy': 2.6207310535947668e-11, 'acceleration': 1.0476940945837182e-11, 'stop': 0, 'angle': 160.0168934852319}
2022-04-10 11:21:58,151 {'vecid': 242606374551181, 'locationx': 33.81303152803712, 'locationy': 27.814990814453022, 'velocityx': 0.8827708069761783, 'velocityy': -0.7833470525334459, 'acceleration': 0.16460409876264967, 'stop': 0, 'angle': 32.10884501567682}
2022-04-10 11:21:59,516 {'vecid': 251096697943453, 'locationx': 31.27797166667088, 'locationy': 30.065325000006226, 'velocityx': -2.951124738980174e-12, 'velocityy': 5.465007826244284e-12, 'acceleration': 1.4677266662896097e-11, 'stop': 0, 'angle': 160.0168934852319}
2022-04-10 11:22:00,267 {'vecid': 242606374551181, 'locationx': 33.83299133713354, 'locationy': 29.372738964084323, 'velocityx': 1.4254301715532152, 'velocityy': 1.4547909162901322, 'acceleration': 1.3187450356420762, 'stop': 0, 'angle': 0.5203795648829441}
